reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
CSND,1.0 h2o_c + 1.0 csn_c + 1.0 h_c -> 1.0 ura_c + 1.0 nh4_c,-65.29999999999998,-110.07638723099268,-92.26413857865246,0.0,3.345000046545984,0.0,1.0,True
ADNt2pp,1.0 h_p + 1.0 adn_p -> 1.0 adn_c + 1.0 h_c,40.0,-3058.7262175764886,-3058.7262175764886,0.0,1000.0,0.0,1.0,True
GTPDPDP,1.0 gdptp_c + 1.0 h2o_c -> 1.0 ppgpp_c + 1.0 pi_c + 1.0 h_c,17.5,-10.6455063091826,-10.645506309182602,0.0,5.0175000697898895,0.0,1.0,True
CITtex_reverse,1.0 cit_p -> 1.0 cit_e,0.0,10371.896287500002,10371.896287500002,0.0,1000.0,0.0,1.0,True
GAMtex_reverse,1.0 gam_p -> 1.0 gam_e,0.0,-3457.298762500001,-3457.298762500001,0.0,1000.0,0.0,1.0,True
MEOHtrpp_reverse,1.0 meoh_c -> 1.0 meoh_p,-11.4,-11.399999999999999,-11.400000000000002,1.6582104080953286e-06,1000.0,0.0,1.0,True
NH4tpp_reverse,1.0 nh4_c -> 1.0 nh4_p,-11.399999999999991,-3870.317575000001,-3870.317575000001,0.0,991.2891894484511,0.0,1.0,True
3OAR120_reverse,1.0 nadp_c + 1.0 3hddecACP_c -> 1.0 nadph_c + 1.0 h_c + 1.0 3oddecACP_c,107.39999999999998,113.3478770312946,112.6857294622679,0.0,1000.0,0.5,0.6,True
NMNtex_reverse,1.0 nmn_p -> 1.0 nmn_e,0.0,3457.298762500001,3457.298762500001,0.0,1000.0,0.0,1.0,True
NTD10,1.0 xmp_c + 1.0 h2o_c -> 1.0 pi_c + 1.0 xtsn_c,-12.800000000000182,-40.94550630918278,-40.94550630918278,0.0,10.035000139561816,0.0,1.0,True
NTD11,1.0 h2o_c + 1.0 imp_c -> 1.0 pi_c + 1.0 ins_c,-12.700000000000045,-39.789948266586705,-33.96495217460256,0.0,10.035000139493718,0.25,1.0,True
NTD12,1.0 h2o_c + 1.0 dimp_c -> 1.0 din_c + 1.0 pi_c,-12.70000000000016,-40.84550630918276,-40.84550630918276,0.0,2.010084921121006,0.0,1.0,True
PMEACPE,1.0 pmeACP_c + 1.0 h2o_c -> 1.0 pimACP_c + 1.0 meoh_c,148.70000000000002,103.92361276907712,121.73586142141737,1.6582104080953286e-06,1.710253283383605e-06,0.0,0.5,False
PItex_reverse,1.0 pi_p -> 1.0 pi_e,0.0,6914.597525000002,6914.597525000002,0.0,999.2312984302163,0.0,1.0,True
XTSNH,1.0 h2o_c + 1.0 xtsn_c -> 1.0 rib_DASH_D_c + 1.0 xan_c,-9.400000000000006,-54.176387230992724,-36.36413857865248,0.0,10.035000139604676,0.0,1.0,True
DDPA,1.0 pep_c + 1.0 e4p_c + 1.0 h2o_c -> 1.0 pi_c + 1.0 2dda7p_c,-70.79999999999973,-71.84810439593288,-79.59751794361323,0.308364122405053,0.34334917770647405,0.2,1.0,True
DCAtex_reverse,1.0 dca_p -> 1.0 dca_e,0.0,3457.298762500001,3457.298762500001,0.0,1000.0,0.0,1.0,True
Htex,1.0 h_e -> 1.0 h_p,0.0,-3498.8606760221282,-3498.8606760221282,0.0,992.6436480382638,0,1.0,True
P5CD,1.0 1pyr5c_c + 2.0 h2o_c + 1.0 nad_c -> 1.0 glu_DASH_L_c + 1.0 nadh_c + 1.0 h_c,-31.100000000000136,-38.37223953120862,-45.772057920366635,0.0,8.028000111838988,0.6,1.0,True
2DGULRy,1.0 nadph_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 nadp_c + 1.0 idon_DASH_L_c,-58.99999999999994,-64.94787703138768,-64.28572946236098,0.0,-0.0,0.5,1.0,True
2DGULRx,1.0 nadh_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 idon_DASH_L_c + 1.0 nad_c,-57.69999999999993,-53.20181865858452,-56.41309762483529,0.0,-0.0,0.5,1.0,True
GAMptspp,1.0 pep_c + 1.0 gam_p -> 1.0 gam6p_c + 1.0 pyr_c,-4.699999999999818,-7.877999532535512,-5.991196103826681,0.0,-0.0,0.5,1.0,True
THRt2rpp_reverse,1.0 thr_DASH_L_c + 1.0 h_c -> 1.0 thr_DASH_L_p + 1.0 h_p,-28.499999999999986,-3940.792273300063,-3930.6798361303822,0.0,1000.0,0.5,1.0,True
P5CR,1.0 1pyr5c_c + 1.0 nadph_c + 2.0 h_c -> 1.0 pro_DASH_L_c + 1.0 nadp_c,-107.89999999999998,-113.84787703138772,-113.18572946236101,0.17809013874959997,4.409539025122013,0.5,1.0,True
GLUTRR,1.0 glutrna_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 glu1sa_c + 1.0 trnaglu_c,-180.2,-220.5910066056079,-202.11661038424103,0.004437371030348913,0.0049304122636241975,0.4,0.6666666666666666,True
