reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
CSND,csn_c + h2o_c + h_c --> nh4_c + ura_c,450.7733976920821,365.012764126493,451.54011672993835,0.0,4.447850396798572,0.25,1.0,True
G6PDH2r,nadp_c + g6p_c --> nadph_c + 6pgl_c + h_c,-8.452756053091889,-55.15276756487732,7.342044099007197,0.0,1000.0,0.75,1.0,True
MEOHtrpp_reverse,meoh_c --> meoh_p,-11.869119260760755,-38.119377156992584,14.381138635471082,1.2898614941140363e-06,1.3381012092509466e-06,0.0,1.0,True
ACt2rpp_reverse,ac_c + h_c --> ac_p + h_p,-8.905101704131084,-86.63963642074344,-17.26310214049656,1.917,2.343,0.0,1.0,True
GUAPRT,gua_c + prpp_c --> ppi_c + gmp_c,-2104.77371898744,-2118.034789976199,-2056.869064306248,0.0,6.674528804513216,0.5,1.0,True
NTD10,xmp_c + h2o_c --> pi_c + xtsn_c,284.9575450438207,218.46876834244878,295.1553091268276,0.0,6.674528804526403,0.0,1.0,True
NTD11,imp_c + h2o_c --> ins_c + pi_c,-5.4885688833235236,-61.02424128357558,-20.77044696371739,0.0,13.34355119033512,0.5,1.0,True
NTD12,dimp_c + h2o_c --> din_c + pi_c,472.198675692871,405.70989899149896,482.3964397758778,0.0,0.017767540768659273,0.0,1.0,True
NACODA,acg5sa_c + h2o_c --> glu5sa_c + ac_c,-36.68569894030196,-123.46035981555018,-21.65156387469895,0.0,6.00742821491862,0.0,1.0,True
3pg_to_ser_DASH_L,glu_DASH_L_c + h2o_c + 3pg_c + nad_c --> akg_c + nadh_c + pi_c + ser_DASH_L_c + h_c,7.911348476591968,-99.09206563025477,32.76952688184984,0.0,5.742234452145471,0.375,1.0,True
P5CD,2 h2o_c + 1pyr5c_c + nad_c --> nadh_c + glu_DASH_L_c + h_c,-505.3550064303413,-585.9794087115253,-489.0389792818483,0.0,10.604962262361541,0.4,1.0,True
FBA_reverse,dhap_c + g3p_c --> fdp_c,-21.557454596088064,-14.066297962745097,30.486211019926223,0.0,1000.0,0.6666666666666666,1.0,True
P5CR,nadph_c + 1pyr5c_c + 2 h_c --> nadp_c + pro_DASH_L_c,-41.04621950435444,-76.03102199214533,12.244109560275817,0.13852983460635337,0.15447727616480209,0.5,1.0,True
PG161abcpp,atp_c + pg161_c + h2o_c --> adp_c + pg161_p + pi_c + h_c,-29.82129236435503,-1996247.796354492,2003831.1110396846,0.0054077443140730964,0.006008604793414552,0.3333333333333333,0.7142857142857143,True
METSOXR2,metsox_DASH_R_DASH_L_c + trdrd_c --> trdox_c + met_DASH_L_c + h2o_c,361.17737204884435,-999680.9898860868,1000424.011145498,0.0,3.558280317411375,0.0,0.8,True
ADK4_reverse,adp_c + idp_c --> itp_c + amp_c,2.8738544778793766,-32.060103151110695,22.07261088881799,0.0,1000.0,0.75,1.0,True
ATPM,atp_c + h2o_c --> adp_c + pi_c + h_c,-29.82129236435503,-88.90168083971467,-45.61878396795016,3.15,16.49355119032714,0.5,1.0,True
METSOXR1,metsox_DASH_S_DASH_L_c + trdrd_c --> trdox_c + met_DASH_L_c + h2o_c,361.17737204884435,-999680.9898860868,1000424.011145498,0.0,3.558280317413194,0.0,0.8,True
GLCtexi,glc_DASH_D_e --> glc_DASH_D_p,0.0,-26.250257896231783,26.250257896231783,7.391043750003514,8.14,0.0,1.0,True
PHETA1_reverse,glu_DASH_L_c + phpyr_c --> akg_c + phe_DASH_L_c,0.11402369267392487,-36.26737907146573,34.04518675199884,0.11610107801595146,1000.0,0.5,1.0,True
MN2tpp,mn2_p --> mn2_c,0.0,-6137.610157896232,-6085.109642103767,0.0004243644315635179,0.00047039710183578666,0.0,1.0,True
DAPE_reverse,26dap_DASH_M_c --> 26dap_DASH_LL_c,1.6542798680000033,-24.595978028231894,27.9045377642319,0.0,999.7671638770437,0.0,1.0,True
KAS15,malACP_c + accoa_c + h_c --> co2_c + actACP_c + coa_c,-336.5160516417957,-1000397.727863923,999680.6947964488,0.20198263601705221,0.224425151130058,0.4,0.8333333333333334,True
FOMETRi,5fthf_c + h_c --> h2o_c + methf_c,278.54430117862205,250.53428844327493,327.22082922765395,0.0,1000.0,0.0,1.0,True
G5SADs,glu5sa_c --> h2o_c + 1pyr5c_c + h_c,446.2147063044308,418.20469356908364,494.89123435346266,0.13852983460635337,10.74349209695481,0.0,1.0,False
PSCVT_reverse,3psme_c + pi_c --> skm5p_c + pep_c,-19.332182878943968,-70.38318737879754,14.381766817969236,0.0,999.7601347768316,0.25,1.0,True
PHETA1,akg_c + phe_DASH_L_c --> glu_DASH_L_c + phpyr_c,-0.11402369267392487,-34.04518675199884,36.26737907146573,0.0,999.883898921984,0.5,1.0,True
SUCOAS_reverse,adp_c + succoa_c + pi_c --> atp_c + coa_c + succ_c,1.5297816010413499,-25.52295220971783,45.00140062101064,0.0,1000.0,0.6666666666666666,1.0,True
PYNP2r,uri_c + pi_c --> r1p_c + ura_c,3.7851844829469883,-32.04994663161379,23.03374251209749,0.0,1000.0,0.5,1.0,True
EX_etoh_LPAREN_e_RPAREN_,etoh_e --> ,-74.98921084125709,-62.57733454139277,-36.327076645160936,0.0,-0.0,0.0,1.0,True
PGM_reverse,3pg_c --> 2pg_c,4.129953475453249,-22.12030442077842,30.38021137168492,4.38293776165953,1000.0,0.0,1.0,True
hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L,succoa_c + cys_DASH_L_c + h2o_c + hom_DASH_L_c --> succ_c + nh4_c + coa_c + hcys_DASH_L_c + pyr_c + h_c,253.32599541247077,115.15015542073678,291.25122890380874,0.10080590041874722,0.11200655602083025,0.3333333333333333,1.0,False
NTPP9,h2o_c + itp_c --> ppi_c + imp_c + h_c,-18.908795822867432,-67.58189261431315,-23.7656856509021,0.0,4.105708058546094,0.5,1.0,True
NTPP8,utp_c + h2o_c --> ump_c + ppi_c + h_c,-47.697906642164526,-111.64221415316719,-53.76185479230231,0.0,13.343551190332732,0.5,1.0,True
EX_meoh_LPAREN_e_RPAREN_,meoh_e --> ,5.8807454058286055,18.292621705692923,44.54287960192475,1.2898614941140363e-06,1.4331794379044846e-06,0.0,1.0,False
NTPP6,atp_c + h2o_c --> ppi_c + amp_c + h_c,-43.433992507559196,-105.9154858405626,-62.23487285295966,0.0,13.34355119032,0.5,1.0,True
NTPP5,datp_c + h2o_c --> ppi_c + damp_c + h_c,-96.95019643122669,-160.45115315525717,-111.01692625094185,0.0,13.34355119030613,0.5,1.0,True
