reaction_id,minimum,maximum
DM_4CRSOL,0.000106531,0.000106531
DM_5DRIB,0.000536477,0.000535018
DM_AACALD,0,0
DM_AMOB,9.55436E-07,2.69E-07
DM_MTHTHF,0.000640142,0.000633083
DM_OXAM,0,-5.74101E-05
Ec_biomass_iJO1366_WT_53p95M,0.477718,0.477718
Ec_biomass_iJO1366_core_53p95M,0,-4.0039E-07
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,7.17627E-05,-2.87E-05
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,0,-7.17627E-05
EX_14glucan_LPAREN_e_RPAREN_,0,0
EX_15dap_LPAREN_e_RPAREN_,0,-7.97363E-06
EX_23camp_LPAREN_e_RPAREN_,0,0
EX_23ccmp_LPAREN_e_RPAREN_,0,0
EX_23cgmp_LPAREN_e_RPAREN_,0,0
EX_23cump_LPAREN_e_RPAREN_,0,0
EX_23dappa_LPAREN_e_RPAREN_,0,0
EX_26dap_DASH_M_LPAREN_e_RPAREN_,0,0
EX_2ddglcn_LPAREN_e_RPAREN_,0,0
EX_34dhpac_LPAREN_e_RPAREN_,0,0
EX_3amp_LPAREN_e_RPAREN_,0,0
EX_3cmp_LPAREN_e_RPAREN_,0,0
EX_3gmp_LPAREN_e_RPAREN_,0,0
EX_3hcinnm_LPAREN_e_RPAREN_,0,0
EX_3hpp_LPAREN_e_RPAREN_,0,-2.40545E-06
EX_3hpppn_LPAREN_e_RPAREN_,0,0
EX_3ump_LPAREN_e_RPAREN_,0,0
EX_4abut_LPAREN_e_RPAREN_,4.78418E-05,-1.30E-05
EX_4hoxpacd_LPAREN_e_RPAREN_,0,0
EX_5dglcn_LPAREN_e_RPAREN_,0,-0.000017223
EX_5mtr_LPAREN_e_RPAREN_,0.00322173,0.00321972
EX_LalaDglu_LPAREN_e_RPAREN_,0,0
EX_LalaDgluMdap_LPAREN_e_RPAREN_,0,-3.50062E-06
EX_LalaDgluMdapDala_LPAREN_e_RPAREN_,0,-3.18945E-06
EX_LalaLglu_LPAREN_e_RPAREN_,0,0
EX_ac_LPAREN_e_RPAREN_,15.0002,14.9995
EX_acac_LPAREN_e_RPAREN_,0,0
EX_acald_LPAREN_e_RPAREN_,0,-7.17627E-05
EX_acgal_LPAREN_e_RPAREN_,0,0
