reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
DM_4CRSOL,4crsol_c --> ,-288.1,-253.65687042584966,-271.4691190781899,0.000106531,0.000106531,0.0,1.0,True
DM_5DRIB,5drib_c --> ,0.0,1000034.4431295742,-999983.3691190782,0.000536477,0.000535018,0.0,0.0,True
DM_AACALD,aacald_c --> ,-109.4,-74.95687042584964,-92.76911907818989,0.0,0.0,0.0,1.0,True
DM_AMOB,amob_c --> ,-338.1,-303.65687042584966,-321.4691190781899,9.55436e-07,2.69e-07,0.0,1.0,True
DM_MTHTHF,mththf_c --> ,0.0,1000034.4431295742,-999983.3691190782,0.000640142,0.000633083,0.0,0.0,True
DM_OXAM,oxam_c --> ,422.5,456.94312957415036,439.1308809218101,0.0,-5.74101e-05,0.0,1.0,True
Ec_biomass_iJO1366_WT_53p95M,0.000223 10fthf_c + 0.000223 2dmmql8_c + 2.5e-05 2fe2s_c + 0.000248 4fe4s_c + 0.000223 5mthf_c + 0.000279 accoa_c + 0.000223 adocbl_c + 0.499149 ala_DASH_L_c + 0.000223 amet_c + 0.28742 arg_DASH_L_c + 0.234232 asn_DASH_L_c + 0.234232 asp_DASH_L_c + 54.119975 atp_c + 0.000116 bmocogdp_c + 2e-06 btn_c + 0.004952 ca2_c + 0.000223 chor_c + 0.004952 cl_c + 0.002944 clpn160_p + 0.00229 clpn161_p + 0.00118 clpn181_p + 0.000168 coa_c + 2.4e-05 cobalt2_c + 0.008151 colipa_e + 0.129799 ctp_c + 0.000674 cu2_c + 0.088988 cys_DASH_L_c + 0.024805 datp_c + 0.025612 dctp_c + 0.025612 dgtp_c + 0.024805 dttp_c + 0.000223 enter_c + 0.000223 fad_c + 0.006388 fe2_c + 0.007428 fe3_c + 0.255712 gln_DASH_L_c + 0.255712 glu_DASH_L_c + 0.595297 gly_c + 0.154187 glycogen_c + 0.000223 gthrd_c + 0.209121 gtp_c + 48.752916 h2o_c + 0.000223 hemeO_c + 0.092056 his_DASH_L_c + 0.282306 ile_DASH_L_c + 0.18569 k_c + 0.437778 leu_DASH_L_c + 3e-06 lipopb_c + 0.333448 lys_DASH_L_c + 3.1e-05 malcoa_c + 0.149336 met_DASH_L_c + 0.008253 mg2_c + 0.000223 mlthf_c + 0.000658 mn2_c + 7e-06 mobd_c + 7e-06 mococdp_c + 7e-06 mocogdp_c + 0.000223 mql8_c + 0.001345 murein3p3p_p + 0.000605 murein3px4p_p + 0.005381 murein4p4p_p + 0.005448 murein4px4p_p + 0.000673 murein4px4px4p_p + 0.001787 nad_c + 4.5e-05 nadh_c + 0.000112 nadp_c + 0.000335 nadph_c + 0.012379 nh4_c + 0.000307 ni2_c + 0.012366 pe160_c + 0.031798 pe160_p + 0.009618 pe161_c + 0.024732 pe161_p + 0.004957 pe181_c + 0.012747 pe181_p + 0.005707 pg160_c + 0.004892 pg160_p + 0.004439 pg161_c + 0.003805 pg161_p + 0.002288 pg181_c + 0.001961 pg181_p + 0.180021 phe_DASH_L_c + 0.000223 pheme_c + 0.214798 pro_DASH_L_c + 0.03327 ptrc_c + 0.000223 pydx5p_c + 0.000223 q8h2_c + 0.000223 ribflv_c + 0.209684 ser_DASH_L_c + 0.000223 sheme_c + 0.004126 so4_c + 0.006744 spmd_c + 9.8e-05 succoa_c + 0.000223 thf_c + 0.000223 thmpp_c + 0.246506 thr_DASH_L_c + 0.055234 trp_DASH_L_c + 0.133993 tyr_DASH_L_c + 5.5e-05 udcpdp_c + 0.140101 utp_c + 0.411184 val_DASH_L_c + 0.000324 zn2_c --> 53.95 adp_c + 53.95 h_c + 53.945874 pi_c + 0.749831 ppi_c,353.72723269992275,352148.1832805685,-354387.6589972046,0.477718,0.477718,0.2,0.6132075471698113,True
EX_12ppd_DASH_R_LPAREN_e_RPAREN_,12ppd_DASH_R_e --> ,8.2,79.44899460936097,8.2,7.17627e-05,-2.87e-05,0.0,1.0,True
EX_12ppd_DASH_S_LPAREN_e_RPAREN_,12ppd_DASH_S_e --> ,8.2,79.44899460936097,8.2,0.0,-7.17627e-05,0.0,1.0,True
EX_14glucan_LPAREN_e_RPAREN_,14glucan_e --> ,0.0,1000071.2489946093,-1000000.0,0.0,0.0,0.0,0.0,True
