reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
CSND,h2o_c + csn_c + h_c --> nh4_c + ura_c,-65.30000000000001,-127.88863588333298,-74.45188992631225,0.0,3.345000046545984,0.0,1.0,True
ADNt2pp,h_p + adn_p --> adn_c + h_c,40.0,-3076.538466228829,-3040.9139689241483,0.0,1000.0,0.0,1.0,True
GTPDPDP,h2o_c + gdptp_c --> pi_c + ppgpp_c + h_c,17.49999999999909,-28.457754961523747,7.166742343156727,0.0,5.0175000697898895,0.0,1.0,True
CITtex_reverse,cit_p --> cit_e,0.0,10354.08403884766,10389.708536152342,0.0,1000.0,0.0,1.0,True
GAMtex_reverse,gam_p --> gam_e,0.0,-3475.1110111523412,-3439.4865138476607,0.0,1000.0,0.0,1.0,True
MEOHtrpp_reverse,meoh_c --> meoh_p,-11.4,-29.21224865234024,6.412248652340239,1.6582104080953286e-06,1000.0,0.0,1.0,True
NH4tpp_reverse,nh4_c --> nh4_p,-11.399999999999991,-3888.129823652341,-3852.5053263476607,0.0,991.2891894484511,0.0,1.0,True
3OAR120_reverse,3hddecACP_c + nadp_c --> h_c + 3oddecACP_c + nadph_c,107.39999999999998,-1999911.9548802257,2000137.9884867196,0.0,1000.0,0.5,0.6,True
NMNtex_reverse,nmn_p --> nmn_e,0.0,3439.4865138476607,3475.1110111523412,0.0,1000.0,0.0,1.0,True
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c,-12.800000000000182,-58.75775496152302,-23.133257656842545,0.0,10.035000139561816,0.0,1.0,True
NTD11,imp_c + h2o_c --> pi_c + ins_c,-12.700000000000045,-51.777200826942796,-21.97769961424647,0.0,10.035000139493718,0.25,1.0,True
NTD12,h2o_c + dimp_c --> pi_c + din_c,-12.70000000000016,-58.657754961523,-23.033257656842522,0.0,2.010084921121006,0.0,1.0,True
PMEACPE,h2o_c + pmeACP_c --> pimACP_c + meoh_c,148.70000000000002,-1999913.888635883,2000139.548110074,1.6582104080953286e-06,1.710253283383605e-06,0.0,0.5,True
PItex_reverse,pi_p --> pi_e,0.0,6914.597525000002,6914.597525000002,0.0,999.2312984302163,0.0,1.0,True
XTSNH,h2o_c + xtsn_c --> xan_c + rib_DASH_D_c,-9.400000000000006,-71.98863588333296,-18.551889926312242,0.0,10.035000139604676,0.0,1.0,True
DDPA,pep_c + h2o_c + e4p_c --> pi_c + 2dda7p_c,-70.79999999999973,-97.40976659595346,-54.03585574359265,0.308364122405053,0.34334917770647405,0.2,1.0,True
DCAtex_reverse,dca_p --> dca_e,0.0,3439.4865138476607,3475.1110111523412,0.0,1000.0,0.0,1.0,True
Htex,h_e --> h_p,0.0,-3498.8606760221282,-3498.8606760221282,0.0,992.6436480382638,0,1.0,True
P5CD,nad_c + 2 h2o_c + 1pyr5c_c --> glu_DASH_L_c + h_c + nadh_c,-31.100000000000023,-62.50613940701665,-21.638158044558388,0.0,8.028000111838988,0.6,1.0,True
2DGULRy,2dhguln_c + nadph_c + h_c --> nadp_c + idon_DASH_L_c,-59.0,-89.5884867194732,-39.64511977427557,0.0,-0.0,0.5,1.0,True
2DGULRx,h_c + 2dhguln_c + nadh_c --> nad_c + idon_DASH_L_c,-57.69999999999993,-80.54699750064343,-29.06791878277638,0.0,-0.0,0.5,1.0,True
GAMptspp,pep_c + gam_p --> gam6p_c + pyr_c,-4.699999999999818,-33.43966173255609,19.570466096193897,0.0,-0.0,0.5,1.0,True
THRt2rpp_reverse,h_c + thr_DASH_L_c --> thr_DASH_L_p + h_p,-28.499999999999986,-3948.4920847827225,-3922.9800246477225,0.0,1000.0,0.5,1.0,True
P5CR,nadph_c + 2 h_c + 1pyr5c_c --> nadp_c + pro_DASH_L_c,-107.90000000000003,-138.48848671947326,-88.5451197742756,0.17809013874959997,4.409539025122013,0.5,1.0,True
GLUTRR,h_c + nadph_c + glutrna_c --> glu1sa_c + trnaglu_c + nadp_c,-180.2,-2000245.2316162935,1999822.523999304,0.004437371030348913,0.0049304122636241975,0.4,0.6666666666666666,True
GLUTRS,glu_DASH_L_c + trnaglu_c + atp_c --> amp_c + ppi_c + glutrna_c,144.0999999999999,-1999899.8901998287,2000156.8406533024,0.004437371030348913,0.004930412263624181,0.5,0.6666666666666666,True
ULA4Ntppi,uLa4n_c --> uLa4n_p,0.0,-2000017.8122486523,2000017.8122486523,0.0,-0.0,0.0,0.0,True
GLCtexi,glc_DASH_D_e --> glc_DASH_D_p,0.0,-17.81224865234024,17.81224865234024,0.0,1000.0,0.0,1.0,True
MSAR,h_c + nadph_c + msa_c --> 3hpp_c + nadp_c,-61.599999999999966,-92.18848671947316,-42.24511977427554,0.0,-0.0,0.5,1.0,True
AGM4Pt2pp,anhgm4p_p + h_p --> h_c + anhgm4p_c,2.8999999999999986,-1997002.278566229,2003033.3459310757,0.0,1.0292307835204129,0.0,0.5,True
EX_uacgam_LPAREN_e_RPAREN_,uacgam_e --> ,2086.4,2103.0308809218104,2120.84312957415,0.0,-0.0,0.0,1.0,True
KAS15,malACP_c + h_c + accoa_c --> co2_c + coa_c + actACP_c,-380.20000000000005,-2000422.2659046042,1999628.3173148928,0.0,0.6288339984827055,0.4,0.6666666666666666,True
HBZOPT,octdp_c + 4hbz_c --> ppi_c + 3ophb_c,-89.20000000000005,-108.1936163828704,-54.7568704258497,0.00018489045959999999,0.000204037756907428,0.0,1.0,True
LEUtex,leu_DASH_L_e --> leu_DASH_L_p,0.0,-17.81224865234024,17.81224865234024,0.0,1000.0,0.0,1.0,True
EX_r5p_LPAREN_e_RPAREN_,r5p_e --> ,1240.5,1257.13088092181,1274.9431295741504,0.0,-0.0,0.0,1.0,True
G5SADs,glu5sa_c --> h2o_c + h_c + 1pyr5c_c,65.79999999999998,58.3210090045021,93.94550630918258,0.17809013874955326,8.206090250433473,0.0,1.0,False
ALAALAtex,alaala_e --> alaala_p,0.0,-17.81224865234024,17.81224865234024,0.0,1000.0,0.0,1.0,True
EX_cm_LPAREN_e_RPAREN_,cm_e --> ,-134.7,-118.06911907818987,-100.25687042584963,0.0,-0.0,0.0,1.0,True
LYStex,lys_DASH_L_e --> lys_DASH_L_p,0.0,-3475.1110111523412,-3439.4865138476607,0.0,1000.0,0.0,1.0,True
ORNtex,orn_e --> orn_p,0.0,-3475.1110111523412,-3439.4865138476607,0.0,1000.0,0.0,1.0,True
2AGPG141tipp,2agpg141_p --> 2agpg141_c,0.0,-1996962.1322986523,2003073.4921986524,0.0,3.345000046521856,0.0,0.0,True
RHAT1,kphphhlipa_c + dtdprmn_c --> icolipa_c + h_c + dtdp_c,100.0,-1999935.6244973047,2000135.6244973047,0.0067580364852,0.007508929439605551,0.0,0.6,True
OMMBLHX,0.5 o2_c + 2ommbl_c --> 2omhmbl_c,-8.2,-2000013.3666288285,2000022.2578684762,0.0,0.000205427715753298,0.0,0.3333333333333333,True
OMPHHX,0.5 o2_c + 2omph_c --> 2ombzl_c,-3794.6,-1003799.7666288285,996235.8578684762,0.0,0.00020543363403847568,0.0,0.6666666666666666,True
